SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,0.964290816,47,0,0.331649331,3364,3,4,0,1,1
1,0.450868765,51,0,0.182188015,27284,9,1,2,0,1
1,0.9999999,38,1,0.164785553,3100,1,0,0,0,4
1,0.680995119,54,2,3450,6670.221237392844,10,3,1,1,0
1,0.98296837,64,3,0.976804639,5000,15,0,1,0,0
1,0.324818513,54,0,0.332333533,5000,6,0,1,0,2
1,0,48,2,0.49770046,5000,4,3,2,1,0
1,0.925349922,30,0,0.109617373,966,3,0,0,0,1
1,0.042189282,30,1,0.158613795,3000,6,0,0,0,1
1,0.660678643,41,0,0.007568765,5416,3,1,0,0,3
1,0.735741631,40,0,0.488806177,18000,13,0,4,0,3
1,0,44,0,0.225352113,2200,5,0,1,0,1
1,0.357240251,53,0,0.455006922,4333,4,0,1,0,3
1,0.851536468,58,0,0.047253951,6390,6,0,0,0,1
1,0.9999999,49,0,0,3683,0,0,0,0,1
1,1.984031936,54,0,0.025416075,7750,1,2,0,0,0
1,0.314563258,45,0,1.142857143,4500,16,0,5,1,0
1,0.9999999,48,4,2665,6670.221237392844,5,1,4,0,0
1,0.9999999,29,0,0.182563542,3658,7,5,0,0,0
1,0.724931839,24,0,97,6670.221237392844,4,0,0,0,0.7572222678605657
1,0.002997643,53,2,0.41068744,7316,18,0,2,0,0
1,0.196786816,42,0,0.132949364,4166,8,0,0,0,4
1,0.231202677,62,1,2596,6670.221237392844,15,1,1,1,0
1,0.316014425,50,1,0.056518262,3750,3,0,0,0,0
1,0.9999999,48,1,0.079457961,3246,3,0,0,0,4
1,1.149833518,42,1,0.040196595,5696,6,2,0,0,0
1,0.441390061,48,1,1058,6670.221237392844,12,0,1,0,0.7572222678605657
1,0.384274327,38,2,0.394551101,7083,11,0,2,0,2
1,1.005994006,43,2,0.790984271,6166,8,0,2,0,1
1,0.462268866,33,0,0.336132773,5000,3,0,1,1,0
1,0.135728543,39,0,0.19026991,3000,3,2,0,2,2
1,0.072029642,57,2,0.502699683,5370,14,0,2,0,3
1,0.72278005,54,3,1.062036213,3368,14,0,2,0,2
1,0.907457698,48,2,0.256486012,10830,9,0,2,1,0
1,0.959195234,34,0,0.365684372,17000,9,0,2,0,0
1,0,56,3,2956,6670.221237392844,5,0,1,0,0
1,0.245727556,84,0,0.220926358,3000,8,0,0,0,1
1,0.501367291,52,4,0.427155865,7467,10,1,1,0,0
1,0.9999999,34,0,0.106323053,7100,6,0,0,0,2
1,0.307736259,39,1,0.459323736,5973,6,0,1,0,2
1,0.868519508,35,0,0.054363674,4800,3,2,0,1,3
1,0.9999999,29,2,0.103421761,2600,5,4,0,0,2
1,0.328835582,30,0,0.747815231,800,6,0,0,0,1
1,0.775736287,27,1,0.390724799,3600,8,0,0,0,1
1,0.9999999,28,0,0,6300,0,1,0,0,0
1,0.980110741,53,0,0.538544519,12050,9,0,2,0,5
1,0.296703297,32,2,0.262315943,5500,10,1,0,0,2
1,0.531766412,47,0,0.645153774,4291,11,0,2,0,2
1,1.257954797,47,1,0.534917207,12500,14,0,1,0,0
1,1.042871684,47,5,0.400565095,4600,6,0,2,1,4
1,1.033621373,35,0,0.504872107,3283,7,0,0,0,1
1,0.002904624,41,0,0.726472941,3750,9,0,2,0,1
1,0.682727362,43,3,0.691102966,3000,8,2,2,0,1
1,0.954256286,49,1,0.406026213,7400,6,0,1,0,4
1,0.980939753,52,3,0.589016185,5498,15,2,1,0,0
1,0.9999999,56,1,0.116289199,4591,3,0,0,0,0
1,0.627038401,31,0,0.216594469,3000,4,1,0,1,3
1,0.314337659,56,0,0.063179916,2389,8,0,0,0,1
1,1.108254784,29,2,0.255561894,3505,5,4,0,1,2
1,0.610167813,45,1,0.167098446,6175,6,1,1,0,4
1,0.999336524,57,0,5021,6670.221237392844,11,0,2,0,0
1,0.767336996,51,5,0.555177217,6460,16,0,2,0,0
1,0.276356421,68,1,0.430599171,7960,14,0,2,1,0
1,0.107280963,59,2,0.006617647,4079,6,1,0,0,0
1,0.500989899,47,2,2.485255031,7900,19,0,9,0,0
1,0.9999999,36,0,0.078653558,6000,2,0,0,0,0
1,0.939553726,58,0,0.440329218,1700,10,0,0,0,0
1,0.898115988,48,0,0.475448335,4683,6,0,1,0,2
1,0.77952215,60,1,0.497838172,6475,11,1,4,1,0
1,0.075511473,47,4,0.640670666,6500,8,0,1,0,3
1,0.870431894,25,0,0.329780147,1500,4,0,0,0,0
1,0.833138638,48,0,2204,6670.221237392844,8,2,1,0,0
1,0.169800104,47,0,0.615676865,5000,14,0,2,0,0
1,0.324884553,73,2,279,6670.221237392844,6,0,0,0,0
1,0.13879773,43,0,0.369377588,14250,10,0,1,0,2
1,0.868657272,54,0,0.785553969,4900,15,1,2,0,0
1,0.863464992,51,0,1600,6670.221237392844,7,0,0,0,1
1,0,38,0,0.114563631,3700,2,0,0,0,3
1,0.9999999,37,3,0.396493387,3250,3,1,1,0,0
1,1.024337245,31,0,0.541675595,4666,10,0,2,0,1
1,0.84718156,49,0,1.306031035,6250,14,0,4,0,1
1,0.834165834,59,0,0.450922196,4716,11,0,2,0,1
1,0.9999999,50,0,0,6670.221237392844,7,3,0,0,0
1,0.9999999,46,1,0.350857401,4431,3,1,1,1,2
1,0.115114261,72,0,0.01995184,5813,6,0,0,0,0
1,0.188208014,33,0,0.46218092,8500,10,0,2,0,0
1,0.9999999,37,1,0,6100,0,2,0,0,0
1,1.011726947,42,1,0.209502844,5450,7,0,2,0,4
1,1.61752988,50,2,0.276570048,1655,2,4,0,0,0
1,0.52710085,50,3,0.467539553,5498,15,1,1,1,1
1,0.108271672,41,0,0.124704902,7200,11,0,0,0,2
1,0.060656144,52,0,0.378448054,3878,8,1,1,1,3
1,0.52505311,47,3,0.723055389,5000,14,0,1,0,4
1,0.024080605,64,0,0.244777718,5600,6,0,1,0,0
1,0.815273091,27,1,473,6670.221237392844,3,2,0,0,1
1,0.016765601,46,0,0.664957966,4876,6,0,2,0,0
1,0.658544156,53,0,0.951917573,5240,17,0,4,1,1
1,0.919665459,48,1,0.699514424,3500,12,0,0,0,3
1,0.014599416,42,1,2563,1,17,1,1,0,2
1,0.772901946,47,0,0.528277932,8663,7,0,2,1,0
1,1.027720973,42,2,0.260497001,3500,5,2,0,1,2
1,0,32,0,0.088182792,2800,4,0,0,0,0
1,0.741857191,51,4,0.453969372,5680,14,0,1,1,0
1,0.001271033,99,0,0.000461467,6500,15,0,0,0,0
1,0.82021071,75,1,1.120111378,7900,28,0,1,0,0
1,0.9999999,53,0,0,6670.221237392844,0,1,0,0,0
1,0.993335555,46,2,0.145532308,8650,9,3,0,0,0
1,0.012025344,31,0,886,6670.221237392844,12,0,0,0,0
1,0.9999999,32,1,0.538532533,4333,3,1,2,2,0
1,0.102561886,73,0,2337,6670.221237392844,9,0,1,0,2
1,0.097744818,29,0,0.88055972,2000,7,0,2,0,0
1,0,37,0,1.113954418,2500,9,0,2,1,0
1,0.466800284,46,2,3165,6670.221237392844,13,0,2,0,0
1,0.907946591,63,2,0.431092437,3569,9,0,0,0,0
1,0.383652126,46,0,0.658396593,5400,11,0,2,0,1
1,0.733362474,46,0,93,4,5,0,0,0,1
1,0.9999999,35,1,143,6670.221237392844,1,2,0,0,0
1,0.770871521,31,2,0.151744057,4500,5,0,0,0,1
1,0.728386883,40,1,0.191233017,3900,3,1,0,0,0
1,0.305387784,46,0,0.898050975,2000,5,0,2,0,0
1,0.888835991,45,1,0.250721015,5200,8,0,1,0,1
1,0.560625067,56,5,0.761178327,1900,6,0,0,2,2
1,0.508166969,29,0,2556,6670.221237392844,6,0,2,0,0
1,0.9999999,53,1,0.523369158,4000,6,4,2,0,1
1,0,31,0,0.018490904,3352,2,0,0,0,1
1,0.656904425,50,2,0.194363972,3796,9,1,0,0,2
1,0.830599019,44,0,0.492304676,10200,10,0,2,0,4
1,0.09424803,57,0,0.590234961,6000,14,0,2,0,2
1,0.801391863,46,0,1257,6670.221237392844,14,7,0,0,2
1,0.431032943,49,2,0.45046344,4854,9,0,1,1,2
1,0.305976358,69,2,0.569913773,8581,15,0,1,0,0
1,0.981006331,24,1,0.01223951,25000,6,0,0,0,0
1,0.589482104,42,3,985,6670.221237392844,9,2,0,0,2
1,0.006420884,57,3,0.233775704,6856,20,0,1,1,2
1,0.022767217,54,0,0.009154421,4150,7,0,0,1,3
1,0.199440075,32,3,0.393615155,5700,5,1,2,0,4
1,0.9999999,28,1,0.767088608,394,1,0,0,0,0
1,0.267159083,50,2,0.347079038,3200,13,0,0,0,1
1,1.527192009,46,1,0.020217729,4500,3,3,0,4,2
1,0.136876006,58,3,0.370772176,4700,24,0,1,0,0
1,0.036177641,56,0,0.286237514,9009,12,0,1,0,0
1,0.505797156,54,1,0.391555556,4499,8,0,0,0,1
1,0.9999999,29,0,0.396743787,3500,2,2,0,0,0
1,0.911292924,72,1,0.398299079,5643,14,0,2,1,0
1,0.860645068,51,1,0.482352941,6034,18,0,2,0,0
1,0.32966719,51,0,0.764904387,2666,8,0,1,2,2
1,0.434745251,49,1,1.107111693,4583,36,0,2,0,0
1,0.9999999,48,2,0.609056425,4217,5,2,2,2,3
1,0.156623272,43,2,0.863917526,2424,11,2,1,1,3
1,0.9999999,77,0,0.022248948,3325,0,2,0,0,0
1,0.9999999,63,0,0,1714,0,0,0,0,2
1,0.010364207,87,0,0.303748126,3334,9,0,2,0,0
1,0.503930998,38,0,0.38121547,3800,9,0,1,1,1
1,1.108698757,45,2,3230,6670.221237392844,6,0,1,1,0
1,2.239600666,45,0,0.07522666,4080,4,4,0,0,2
1,0.890772307,40,1,1.102120536,3583,12,0,3,0,2
1,0.271818787,25,1,0.011994003,2000,1,1,0,1,0
1,0.934810952,35,0,0.388736553,4740,9,0,2,1,2
1,1.117853385,35,3,374,6670.221237392844,5,1,0,2,1
1,0.445925679,31,0,0.009140982,8532,6,0,0,1,2
1,0.9999999,28,0,79,6670.221237392844,2,0,0,0,0
1,1.340732519,42,2,0.130637636,4500,4,2,0,0,1
1,0.916444425,73,1,0.179549604,11500,9,0,1,3,0
1,0.886787623,29,0,0.578736877,6000,10,0,1,0,4
1,0.790393013,34,2,0.392688308,3172,5,0,0,0,3
1,0.956841035,47,0,0.135920019,4200,9,4,0,0,0
1,0.754126846,47,0,0.065313779,5863,4,0,0,1,2
1,0.922275671,47,0,1892,6670.221237392844,10,1,1,1,2
1,0.923865675,34,0,0.34721899,4296,13,0,1,0,4
1,0.798571965,39,1,0.302016894,5800,8,1,0,1,2
1,0.714413914,54,3,1726,6670.221237392844,5,0,0,3,0
1,0.273012729,51,0,0.435100548,5469,10,1,1,1,0
1,0.139643044,85,0,0.020185029,3566,3,0,0,1,0
1,0.969100618,47,2,1.083436151,6483,10,0,2,0,2
1,0.211747398,49,0,0.573242342,6300,27,0,2,0,3
1,0.673519334,58,0,0.607913669,1111,5,0,0,0,0
1,0.853505743,67,3,1.146778043,2513,7,3,1,0,1
1,0.031492376,33,0,0.329800714,8680,14,0,2,0,1
1,0.9999999,28,0,36,6670.221237392844,1,0,0,0,0.7572222678605657
1,0.902016331,43,1,687,6670.221237392844,2,0,0,0,0
1,0.842674533,35,4,0.446209864,3020,8,2,0,0,0
1,0.962911289,54,1,0.40475,3999,5,0,1,1,0
1,0.895258046,45,1,0.265206813,6575,4,1,1,0,4
1,1.258637155,33,0,3.667732907,2500,12,0,7,0,0
1,0.009203857,79,0,0.046707613,7000,9,0,0,0,1
1,0.035598648,50,0,0.170072512,3033,10,0,0,0,0
1,0.076818189,49,1,0.4544406,2600,10,0,1,0,0
1,0.855532652,33,1,0.301674581,4000,10,0,0,0,3
1,0.387331563,54,0,0.71152547,7400,11,0,2,1,1
1,0.9999999,23,1,771,6670.221237392844,3,0,0,0,0
1,0.858792882,44,0,0.234036528,7062,10,0,0,0,0
1,0.9999999,32,0,333,6670.221237392844,1,2,0,0,0
1,0.077682834,61,0,0.684303351,1700,13,0,1,1,0
1,0.496733479,33,1,0.320852296,4833,7,0,2,0,1
1,0.331446666,79,0,2334,6670.221237392844,18,0,1,0,0
1,0.699255225,53,0,1135,6670.221237392844,10,3,0,2,0
1,0.155773719,43,0,0.991596639,3450,20,0,1,0,2
1,0.026791157,60,0,272,6670.221237392844,5,0,0,0,2
1,0.454670803,30,0,0.052378664,2080,6,3,0,0,0
1,0.948785237,33,0,0.630826027,4333,10,0,1,0,0
1,0.865168539,55,2,1.768526228,1200,9,0,1,0,0
1,0.03036029,53,0,846,6670.221237392844,11,0,1,0,0
1,0.573796369,36,0,0.322923173,1600,8,0,0,1,2
1,0.618659756,51,2,0.754577984,4750,10,1,2,2,2
1,0.023351826,53,0,5,6670.221237392844,2,2,0,0,2
1,0.675436647,47,5,0.677991137,8800,14,6,4,2,1
1,0.30801787,57,0,0.175508721,13759,9,0,2,0,1
1,0.591321334,42,1,0.389230319,6833,13,0,1,0,2
1,0.364390379,49,0,0.88968073,7015,10,0,6,0,0
1,0.9999999,47,1,620,6670.221237392844,1,1,1,0,0
1,0.9999999,38,0,0.858428314,5000,6,0,1,0,3
1,0.577449623,35,1,0.47316072,6333,6,0,2,0,0
1,1.097587481,40,6,1135,6670.221237392844,7,4,0,5,0
1,0.953967923,32,1,0.091396477,3916,7,3,0,1,0
1,0.9999999,32,0,0.156173743,2048,1,0,0,0,2
1,0.782811459,50,2,0.607763485,4430,13,1,1,0,0
1,0.784245702,60,0,0.617184084,4573,10,0,1,0,0
1,0.189468984,50,0,0.290118314,6000,12,0,1,0,0
1,0.833578359,52,0,0.083824821,7968,6,0,0,0,1
1,0.426635585,72,0,0.867687726,4700,14,0,2,1,0
1,0.802232887,55,1,1678,6670.221237392844,12,0,0,0,0
1,0.463443376,42,0,1321,6670.221237392844,17,0,0,0,0
1,0.914454277,65,2,0.345923098,7333,8,1,1,0,1
1,0.9999999,51,0,0,2871,1,0,0,1,0
1,0.743005977,56,0,0.724282227,8602,16,0,2,0,0
1,0.868809731,31,4,0.279511156,10800,10,0,2,0,0
1,0.653608181,51,0,1490,6670.221237392844,6,0,0,0,0
1,0.9999999,63,0,0.160550459,2833,1,1,0,0,0
1,1.025750603,61,3,0.336665334,2500,8,1,0,1,0
1,0.135572885,43,0,0.339039748,5081,7,0,2,1,0
1,0.108178364,36,0,0.662162162,9397,10,0,2,0,1
1,0.939146231,35,3,0.072782741,4588,16,0,0,1,0
1,1.054011572,38,2,1.732909974,2676,12,0,2,2,0
1,0.89276808,74,0,0.144305307,1676,1,0,0,0,0
1,0.604386116,38,1,0.321712381,3900,4,1,1,0,2
1,1.03169683,39,1,0.419037824,8750,8,0,2,0,3
1,0.001986987,77,0,0.208261499,14500,10,0,1,0,0
1,0.448039826,39,0,0.225995518,5800,13,0,1,1,0
1,0.0160809,59,0,0.103226728,7003,21,0,0,3,0
1,0.948745116,41,1,0.927334796,4100,13,1,1,2,2
1,0.402410463,53,2,0.362909273,4000,15,0,2,1,0
1,0.109103029,28,2,0.087598191,4200,7,0,0,1,0
1,0.977228647,53,3,0.291444154,8800,6,3,1,1,3
1,0.763075292,46,4,0.152880207,15050,10,0,0,1,3
1,0.9999999,24,0,449,6670.221237392844,1,1,0,0,0
1,0.96031922,36,3,0.418759019,3464,5,1,0,0,3
1,0.724120083,55,1,2178,6670.221237392844,10,2,1,2,0
1,0.363806812,29,1,0.426143464,4000,10,0,0,1,0
1,0.362683438,32,0,0.013410729,4995,3,0,0,0,2
1,0.591754993,48,1,0.511306832,4200,12,0,2,1,1
1,0.303299633,42,0,0.426992897,3800,8,1,1,0,1
1,0.00505439,76,0,1461,6670.221237392844,2,0,1,1,0.7572222678605657
1,0.255755131,63,6,0.103200592,9466,14,0,0,1,0
1,0.641476446,39,1,0.623857956,5800,11,0,1,0,0
1,0.9999999,40,2,0.434666667,1499,2,1,0,0,1
1,0.9999999,39,0,0.230769231,1000,0,0,0,0,2
1,0.933144232,58,0,0.638429376,5500,10,1,1,0,0
1,0.980772189,43,3,0.69259767,5835,9,1,2,1,0
1,0.9999999,26,96,0,6670.221237392844,0,96,0,96,0
1,0.901046622,27,3,0.12395868,3000,8,2,0,0,0
1,0.786220687,35,1,0.374363188,6084,11,1,1,1,3
1,1.053263043,42,0,0.442737807,3710,4,2,1,3,2
1,0.9999999,55,0,0.132851696,4982,1,1,0,0,0
1,1.043123953,73,0,0.212158273,13899,21,0,0,0,0
1,0.978556747,42,0,0.214506453,5500,7,0,0,0,3
1,0.9999999,51,0,0.293369219,4086,7,2,0,0,0
1,1.173509286,33,3,0.430443367,5570,13,5,0,2,2
1,0.946487433,66,5,0.698974359,7799,20,0,2,0,2
1,0.899707737,28,0,0.448387903,4000,6,0,2,0,3
1,0.9999999,54,2,5001,6670.221237392844,7,3,2,3,0
1,0.173188059,57,0,4056,6670.221237392844,11,0,1,0,0
1,0,59,0,1293,6670.221237392844,2,0,1,0,0.7572222678605657
1,0.943201515,66,1,7181,6670.221237392844,17,0,2,2,0
1,0.602389348,29,1,0.538120731,5416,12,0,2,0,2
1,0.830242511,48,1,1360,6670.221237392844,4,1,2,2,0
1,0.944111776,47,1,0.160528935,7032,3,1,1,1,2
1,0.9999999,27,0,0.279125567,3750,4,1,0,0,0
1,0.9999999,32,1,721,6670.221237392844,3,0,0,2,0
1,0.812318607,66,1,1.92453426,3166,14,1,2,1,0
1,0.146471656,75,3,0.225887056,2000,7,3,0,0,0
1,1.006997667,52,2,0.175149014,4361,5,0,0,2,7
1,0.11540755,41,0,0.321886144,7570,7,0,2,1,0
1,0.002781775,63,1,0.394614387,13108,13,0,5,0,0
1,0.646202106,52,1,4621,6670.221237392844,11,6,1,0,0
1,0.9999999,40,1,2049,6670.221237392844,7,0,1,0,0.7572222678605657
1,1.000802432,58,1,1.067012218,2700,14,0,1,0,0
1,0.510970258,36,1,0.110245103,9750,6,3,0,0,0
1,1.774542674,53,0,0.406259374,10000,13,0,3,0,4
1,0.068827347,30,2,0.414065104,9000,6,0,2,0,0
1,1.147748621,30,0,0.346896071,4300,11,0,0,0,0
1,0.619557459,24,0,0.009024644,2880,1,0,0,0,0
1,0.9999999,41,1,0.212072435,2484,1,0,0,0,3
1,0.9999999,32,1,0.372937294,1211,3,0,0,0,1
1,0.9999999,39,0,0.35254915,3000,3,0,1,0,1
1,0.553047404,26,0,0.815884477,3600,9,0,1,0,0
1,0.9999999,31,0,0.1488,1249,1,2,0,0,2
1,1.055625509,55,1,0.46831472,7968,21,0,1,2,0
1,0.997529557,47,1,0.08668942,7324,7,0,0,0,0
1,0.9999999,28,0,0,900,0,0,0,0,3
1,0.254107624,51,0,7457,6670.221237392844,8,0,3,0,0
1,0.830339321,30,0,0.202389661,4100,2,0,1,0,2
1,0.193486915,54,2,0.678680721,2940,10,0,2,0,0
1,0.9999999,49,0,0.001345895,5200,0,0,0,0,6
1,0.9999999,40,4,0.236705318,2500,6,0,0,1,2
1,0.439941341,53,2,0.471799808,5194,9,1,1,0,0
1,0.89536685,54,2,1.220487196,1600,6,0,1,0,1
1,0.895535253,32,1,0.908311911,3500,9,0,2,0,0
1,0.997827032,32,0,0.318729785,3400,6,1,1,0,0
1,0.9999999,51,1,0.070289983,17000,3,1,0,0,6
1,0.612903226,56,0,0.296330444,5422,9,0,0,1,0
1,0.9999999,52,0,0,4200,0,1,0,0,5
1,0.473329678,36,0,0.505936263,4800,14,0,1,1,3
1,1.145712783,59,2,569,6670.221237392844,9,0,0,0,1
1,1.107309487,58,1,0.370136187,6167,10,0,1,0,1
1,0.9999999,37,0,0,1738,3,0,0,0,0
1,0.994005994,49,2,0.061508368,4600,5,1,0,0,0
1,0.872500126,34,0,0.544186047,2579,6,0,0,0,0
1,0.79152702,47,0,0.588043256,4900,10,0,1,0,1
1,0.756157035,74,3,0.232900137,2923,5,0,0,0,0
1,0.033242436,54,0,0.207858638,4300,6,0,1,0,0
1,0.9999999,61,0,0,6670.221237392844,0,0,0,0,0.7572222678605657
1,0.810478482,43,0,2707,6670.221237392844,11,0,1,0,2
1,1.093915853,44,1,0.882592928,6617,10,0,3,0,2
1,0.9999999,39,2,0.136668092,7016,5,1,1,0,0
1,1.123505976,53,1,0.205621302,6083,10,0,0,0,0
1,0.9999999,54,1,476,6670.221237392844,1,5,0,0,0
1,0.85618493,39,0,0.357607065,6000,4,0,2,0,0
1,1.562396007,32,0,788,6670.221237392844,5,0,0,3,0
1,0.973428509,48,0,0.637963648,12158,16,0,3,0,4
1,0.999333555,42,2,0.610770089,3583,9,5,1,0,0
1,0.049967339,59,0,0.033861621,14322,15,0,0,0,0
1,0.9999999,32,0,190,6670.221237392844,2,0,0,0,0
1,0.870784043,38,0,0.547556555,8000,10,0,3,0,3
1,0.425249169,23,0,0.002497918,1200,2,0,0,0,0
1,0.975341553,34,0,0.283177109,4053,4,1,1,0,0
1,0.9999999,59,0,159,6670.221237392844,1,0,0,0,0
1,0.9999999,23,0,0.089385475,1789,0,1,0,0,0
1,1.192563569,39,1,0.943906318,6916,20,1,2,1,1
1,0.962207558,58,0,0.795918367,440,5,0,0,1,1
1,0.930043723,28,2,0.118529097,2800,4,0,0,2,0
1,0.820257489,73,1,0.588342857,4374,9,2,2,0,0
1,0.429098881,63,0,0.523548518,4925,14,0,1,0,1
1,0.142732024,48,0,0.390227082,20300,22,0,5,0,3
1,0,46,1,0.258632182,7500,11,0,1,0,2
1,0.799868874,47,2,0.518716578,4300,6,0,2,0,0
1,0.9999999,35,1,0.306203082,2530,7,0,0,0,0
1,0.313764072,59,1,0.22195646,24666,11,1,1,0,0
1,0.995001136,37,0,0.321441843,2690,18,0,0,0,2
1,1.014375453,61,1,4761,6670.221237392844,11,0,2,0,2
1,0.9999999,33,1,0.13197196,3280,2,1,0,0,0
1,0.9999999,30,0,0.237504998,2500,1,1,1,0,2
1,0.301491625,65,1,1.38243007,4575,20,0,2,1,0
1,0.015483372,51,1,2831,6670.221237392844,7,0,1,0,0
1,0.026605891,45,0,0.083314819,4500,9,0,0,0,0
1,0.005944334,54,0,0.594966936,5443,9,0,2,0,0
1,0.786697903,33,0,2.35514942,4048,15,0,13,0,0
1,0.377238383,52,0,0.264315989,11088,15,0,2,0,1
1,0.302587177,60,0,0.283097352,12500,5,0,1,0,1
1,0.828282828,46,2,0.870024995,5200,4,3,1,0,2
1,0.874054587,62,6,0.03234792,11128,15,2,0,6,1
1,0.788673071,51,0,0.633749098,9700,11,0,5,0,2
1,0.9999999,46,0,0.302480563,2700,5,1,0,0,1
1,0.9999999,27,98,0,750,0,98,0,98,0
1,0.9999999,60,0,0.231107557,2500,1,2,0,1,0
1,0.83006294,41,0,0.268514312,2200,8,2,0,0,0
1,0.9999999,49,0,0.024958403,600,0,0,0,0,1
1,1.255813953,42,3,0.477626459,3083,6,3,1,2,3
1,0.735470578,46,1,0.425290462,3700,6,0,1,0,2
1,0.9999999,32,1,0.084544965,1856,2,0,0,0,1
1,0.554100702,30,0,0.37704918,2500,9,0,0,0,0
1,0.214494347,54,2,2792,6670.221237392844,15,0,2,0,0
1,1.006644518,55,0,265,6670.221237392844,4,1,0,0,0
1,0.483474035,41,0,0.888860403,7800,14,0,4,2,3
1,0.147191343,60,0,0.451182939,3000,13,3,2,0,0
1,0.940252591,35,3,0.397077672,3900,9,0,0,0,3
1,0.297304504,33,0,0.353842785,13700,15,1,1,0,1
1,0.443880162,63,0,0.303399382,5500,15,0,1,0,1
1,0.828421293,42,2,0.428946382,5333,6,0,2,0,0
1,0.684986663,53,2,0.254860571,9000,11,0,1,3,1
1,0.970956991,52,1,0.339441536,4583,10,1,0,0,0
1,0.9999999,39,1,0.783777298,4166,4,0,1,0,0
1,0.9999999,41,98,0,2300,0,98,0,98,1
1,0.9999999,57,3,1.203074258,4618,10,1,2,1,1
1,0.50059976,26,0,37,6670.221237392844,3,0,0,0,1
1,0.144294381,60,0,0.044836563,3456,3,0,0,1,0
1,1.385685885,30,1,0.294789436,1400,5,0,0,2,0
1,0.9999999,54,2,0.558675445,5163,6,1,0,0,1
1,0.9999999,22,1,0.075949367,1500,2,0,0,1,0
1,0.741311926,52,4,0.216975892,9000,10,0,0,1,2
1,0.9999999,43,4,0.857017158,2272,5,0,2,0,2
1,0.020652898,25,0,502,6670.221237392844,7,0,0,0,0.7572222678605657
1,0.76866601,60,2,0.459317585,8000,10,0,2,0,0
1,0.430794677,55,0,0.119253831,1500,10,2,0,0,0
1,1.018836279,36,0,0.333427442,3541,4,0,0,0,1
1,1.006644518,39,0,0.062978031,6144,2,2,0,0,1
1,0.9999999,39,0,36,6670.221237392844,0,3,0,0,0
1,0.857142857,32,0,0.053936065,7100,3,0,0,0,2
1,0.161939322,43,0,0.429337182,9700,14,0,2,0,0
1,0.607758101,40,2,0.250833187,5700,6,0,0,0,2
1,0.9999999,58,1,0.173798799,2663,2,0,0,0,1
1,0.9999999,34,0,0,6670.221237392844,0,1,0,0,1
1,0.9999999,51,1,0.261873813,10000,3,2,1,3,3
1,0.455693038,62,1,0.325146707,4600,4,1,1,0,0
1,0.9999999,50,2,0.188844731,7296,8,5,0,3,1
1,1.026378897,23,0,0.280266568,2700,5,0,0,0,1
1,0.778702163,49,1,0.06572457,7500,4,1,0,1,0
1,0.078100935,42,0,0.224670952,9800,18,0,2,0,1
1,0.976892933,51,3,0.465896522,8136,8,0,2,0,0
1,0.037910913,46,0,0.458285527,6100,18,0,2,0,1
1,0.950345973,60,6,0.732920856,3878,12,4,0,3,0
1,0.663644149,42,1,0.771683329,3700,7,0,2,0,0
1,0.866593617,30,1,0.543848309,4640,10,0,1,0,0
1,0.9999999,48,98,0,1200,0,98,0,98,0
1,0,48,2,0.550743374,4640,10,0,3,1,1
1,0.710028478,60,1,0.350087159,3441,13,0,1,0,0
1,0.611890029,56,0,0.418179091,6666,18,1,1,0,1
1,0.9999999,50,1,758,6670.221237392844,2,6,0,0,0
1,0.233234219,65,0,0.493948005,9500,10,0,3,0,0
1,0.402754915,34,0,0.375403784,4333,12,0,0,0,2
1,0.276827003,48,1,0.572063428,9900,14,1,4,0,2
1,1.072992701,39,0,0.322342668,6641,9,0,1,0,0
1,0.000965451,48,0,0.96671979,10666,11,0,8,0,3
1,0.801999048,63,1,2084,6670.221237392844,7,0,1,0,0
1,0.034588857,50,0,880,6670.221237392844,8,0,1,0,1
1,0.230358092,62,1,1.916779738,2210,16,1,2,0,0
1,0.242613743,43,0,9052,6670.221237392844,16,0,4,0,0
1,0.160165851,63,0,0.371325538,9150,17,0,2,0,0
1,1.016611296,29,0,0.007438017,1209,1,0,0,0,0
1,0.513945853,57,0,0.538973051,20000,27,0,4,0,0
1,0.369468369,48,2,377,6670.221237392844,6,0,0,1,0
1,0.909660323,37,0,0.130504661,3110,4,0,0,0,1
1,0.97729006,53,0,0.423527789,7250,5,0,2,0,4
1,1.054678999,49,2,1.004498875,4000,10,0,1,0,0
1,0.9999999,26,1,0.291758762,3166,3,4,1,1,0
1,0.88384755,45,0,28,6670.221237392844,2,0,0,0,3
1,0.443164529,23,0,0.074299635,820,3,0,0,0,0
1,0.9999999,41,98,0,6670.221237392844,0,98,0,98,0.7572222678605657
1,1.053324869,36,2,0.186700767,5864,5,2,1,2,2
1,0.9999999,35,98,0.008663779,3000,0,98,0,98,0
1,0.9999999,33,0,1.030692363,1400,4,2,2,1,0
1,0.698147602,58,0,0.407600471,5946,11,0,1,0,1
1,0.592385486,55,0,0.497557213,11666,6,1,2,0,4
1,2.014975042,38,7,0.486752792,4566,10,1,1,1,3
1,0.004188394,73,0,0.328009663,7450,6,0,3,0,0
